É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2022/11/05 05:40:39

,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH,ã˙òH
2022/8/2 23:00:00,14.8,8,1,0.5,0,8,1
2022/8/3 00:00:00,14.8,8,1,0.5,0,8,1
2022/8/3 1:00:00,14.8,8,1,0.0,0,8,1
2022/8/3 2:00:00,14.9,8,1,0,1,8,1
2022/8/3 3:00:00,14.8,8,1,0,1,8,1
2022/8/3 4:00:00,14.7,8,1,0.0,0,8,1
2022/8/3 5:00:00,14.7,8,1,0.0,0,8,1
2022/8/3 6:00:00,15.1,8,1,0.0,0,8,1
2022/8/3 7:00:00,15.9,8,1,0.0,0,8,1
2022/8/3 8:00:00,16.5,8,1,0.5,0,8,1
2022/8/3 9:00:00,17.8,8,1,0.0,0,8,1
2022/8/3 10:00:00,18.4,8,1,1.0,0,8,1
2022/8/3 11:00:00,19.3,8,1,0.0,0,8,1
2022/8/3 12:00:00,19.5,8,1,0.0,0,8,1
2022/8/3 13:00:00,20.4,8,1,0.0,0,8,1
2022/8/3 14:00:00,20.1,8,1,0,1,8,1
2022/8/3 15:00:00,20.1,8,1,0,1,8,1
2022/8/3 16:00:00,19.2,8,1,0,1,8,1
2022/8/3 17:00:00,19.4,8,1,0,1,8,1
2022/8/3 18:00:00,19.0,8,1,0,1,8,1
2022/8/3 19:00:00,18.2,8,1,0,1,8,1
2022/8/3 20:00:00,17.4,8,1,0,1,8,1
2022/8/3 21:00:00,16.2,8,1,0,1,8,1
2022/8/3 22:00:00,15.4,8,1,0,1,8,1
2022/8/3 23:00:00,14.9,8,1,0,1,8,1
2022/8/4 00:00:00,14.8,8,1,0,1,8,1
2022/8/4 1:00:00,14.6,8,1,0,1,8,1
2022/8/4 2:00:00,14.8,8,1,0,1,8,1
2022/8/4 3:00:00,14.7,8,1,0,1,8,1
2022/8/4 4:00:00,14.5,8,1,0,1,8,1
2022/8/4 5:00:00,14.3,8,1,0,1,8,1
2022/8/4 6:00:00,14.7,8,1,0,1,8,1
2022/8/4 7:00:00,15.3,8,1,0,1,8,1
2022/8/4 8:00:00,16.4,8,1,0,1,8,1
2022/8/4 9:00:00,17.4,8,1,0,1,8,1
2022/8/4 10:00:00,19.1,8,1,0,1,8,1
2022/8/4 11:00:00,19.8,8,1,0,1,8,1
2022/8/4 12:00:00,19.1,8,1,0,1,8,1
2022/8/4 13:00:00,19.4,8,1,0,1,8,1
2022/8/4 14:00:00,19.6,8,1,0,1,8,1
2022/8/4 15:00:00,19.5,8,1,0,1,8,1
2022/8/4 16:00:00,19.8,8,1,0,1,8,1
2022/8/4 17:00:00,19.1,8,1,0,1,8,1
2022/8/4 18:00:00,18.4,8,1,0,1,8,1
2022/8/4 19:00:00,17.4,8,1,0,1,8,1
2022/8/4 20:00:00,16.6,8,1,0,1,8,1
2022/8/4 21:00:00,15.7,8,1,0,1,8,1
2022/8/4 22:00:00,14.9,8,1,0,1,8,1
2022/8/4 23:00:00,15.0,8,1,0,1,8,1
2022/8/5 00:00:00,15.0,8,1,0,1,8,1
2022/8/5 1:00:00,14.7,8,1,0,1,8,1
2022/8/5 2:00:00,14.3,8,1,0,1,8,1
2022/8/5 3:00:00,13.8,8,1,0,1,8,1
2022/8/5 4:00:00,13.4,8,1,0,1,8,1
2022/8/5 5:00:00,13.5,8,1,0,1,8,1
2022/8/5 6:00:00,14.1,8,1,0,1,8,1
2022/8/5 7:00:00,14.8,8,1,0,1,8,1
2022/8/5 8:00:00,17.0,8,1,0,1,8,1
2022/8/5 9:00:00,18.7,8,1,0,1,8,1
2022/8/5 10:00:00,19.7,8,1,0,1,8,1
2022/8/5 11:00:00,19.6,8,1,0,1,8,1
2022/8/5 12:00:00,19.5,8,1,0,1,8,1
2022/8/5 13:00:00,19.9,8,1,0,1,8,1
2022/8/5 14:00:00,19.1,8,1,0,1,8,1
2022/8/5 15:00:00,19.1,8,1,0,1,8,1
2022/8/5 16:00:00,18.8,8,1,0,1,8,1
2022/8/5 17:00:00,18.9,8,1,0,1,8,1
2022/8/5 18:00:00,18.5,8,1,0,1,8,1
2022/8/5 19:00:00,17.7,8,1,0,1,8,1
2022/8/5 20:00:00,16.5,8,1,0,1,8,1
2022/8/5 21:00:00,16.3,8,1,0,1,8,1
2022/8/5 22:00:00,15.9,8,1,0,1,8,1
2022/8/5 23:00:00,15.9,8,1,0,1,8,1
2022/8/6 00:00:00,15.8,8,1,0,1,8,1
2022/8/6 1:00:00,15.3,8,1,0,1,8,1
2022/8/6 2:00:00,15.2,8,1,0,1,8,1
2022/8/6 3:00:00,15.1,8,1,0,1,8,1
2022/8/6 4:00:00,15.1,8,1,0,1,8,1
2022/8/6 5:00:00,15.1,8,1,0,1,8,1
2022/8/6 6:00:00,15.7,8,1,0,1,8,1
2022/8/6 7:00:00,16.4,8,1,0,1,8,1
2022/8/6 8:00:00,16.8,8,1,0.0,0,8,1
2022/8/6 9:00:00,18.2,8,1,0,1,8,1
2022/8/6 10:00:00,18.1,8,1,0,1,8,1
2022/8/6 11:00:00,18.9,8,1,0,1,8,1
2022/8/6 12:00:00,19.2,8,1,0,1,8,1
2022/8/6 13:00:00,19.4,8,1,0,1,8,1
2022/8/6 14:00:00,20.1,8,1,0,1,8,1
2022/8/6 15:00:00,19.7,8,1,0,1,8,1
2022/8/6 16:00:00,19.7,8,1,0,1,8,1
2022/8/6 17:00:00,19.3,8,1,0,1,8,1
2022/8/6 18:00:00,19.4,8,1,0,1,8,1
2022/8/6 19:00:00,19.7,8,1,0.0,0,8,1
2022/8/6 20:00:00,19.9,8,1,0,1,8,1
2022/8/6 21:00:00,18.2,8,1,0.0,0,8,1
2022/8/6 22:00:00,17.8,8,1,0.0,0,8,1
2022/8/6 23:00:00,17.8,8,1,0.0,0,8,1
2022/8/7 00:00:00,18.0,8,1,0.0,0,8,1
2022/8/7 1:00:00,18.1,8,1,0.5,0,8,1
2022/8/7 2:00:00,18.5,8,1,0.0,0,8,1
2022/8/7 3:00:00,18.8,8,1,0.5,0,8,1
2022/8/7 4:00:00,18.0,8,1,0.0,0,8,1
2022/8/7 5:00:00,18.5,8,1,0.0,0,8,1
2022/8/7 6:00:00,19.2,8,1,0,1,8,1
2022/8/7 7:00:00,20.2,8,1,0,1,8,1
2022/8/7 8:00:00,20.6,8,1,0,1,8,1
2022/8/7 9:00:00,20.2,8,1,0.0,0,8,1
2022/8/7 10:00:00,21.0,8,1,0,1,8,1
2022/8/7 11:00:00,21.9,8,1,0,1,8,1
2022/8/7 12:00:00,21.8,8,1,0,1,8,1
2022/8/7 13:00:00,21.5,8,1,0,1,8,1
2022/8/7 14:00:00,21.4,8,1,0.0,0,8,1
2022/8/7 15:00:00,21.5,8,1,0,1,8,1
2022/8/7 16:00:00,21.2,8,1,0.0,0,8,1
2022/8/7 17:00:00,20.4,8,1,0.0,0,8,1
2022/8/7 18:00:00,20.1,8,1,0.0,0,8,1
2022/8/7 19:00:00,20.4,8,1,0.0,0,8,1
2022/8/7 20:00:00,20.7,8,1,0,1,8,1
2022/8/7 21:00:00,20.8,8,1,0.5,0,8,1
2022/8/7 22:00:00,20.7,8,1,0.0,0,8,1
2022/8/7 23:00:00,20.8,8,1,0.0,0,8,1
2022/8/8 00:00:00,20.9,8,1,0.0,0,8,1
2022/8/8 1:00:00,20.9,8,1,0.0,0,8,1
2022/8/8 2:00:00,20.9,8,1,0.0,0,8,1
2022/8/8 3:00:00,21.2,8,1,0.0,0,8,1
2022/8/8 4:00:00,21.2,8,1,0.5,0,8,1
2022/8/8 5:00:00,21.2,8,1,0.0,0,8,1
2022/8/8 6:00:00,21.3,8,1,0.0,0,8,1
2022/8/8 7:00:00,21.4,8,1,0.0,0,8,1
2022/8/8 8:00:00,21.6,8,1,0.0,0,8,1
2022/8/8 9:00:00,21.1,8,1,0.0,0,8,1
2022/8/8 10:00:00,21.2,8,1,0,1,8,1
2022/8/8 11:00:00,20.9,8,1,0.0,0,8,1
2022/8/8 12:00:00,21.3,8,1,0.0,0,8,1
2022/8/8 13:00:00,21.8,8,1,0,1,8,1
2022/8/8 14:00:00,21.8,8,1,0,1,8,1
2022/8/8 15:00:00,21.9,8,1,0,1,8,1
2022/8/8 16:00:00,22.1,8,1,0,1,8,1
2022/8/8 17:00:00,22.4,8,1,0,1,8,1
2022/8/8 18:00:00,21.8,8,1,0,1,8,1
2022/8/8 19:00:00,21.8,8,1,0,1,8,1
2022/8/8 20:00:00,22.0,8,1,0,1,8,1
2022/8/8 21:00:00,22.0,8,1,0,1,8,1
2022/8/8 22:00:00,21.7,8,1,0.0,0,8,1
2022/8/8 23:00:00,21.5,8,1,1.5,0,8,1
2022/8/9 00:00:00,21.8,8,1,0.5,0,8,1
2022/8/9 1:00:00,21.9,8,1,0.0,0,8,1
2022/8/9 2:00:00,21.9,8,1,0.0,0,8,1
2022/8/9 3:00:00,22.0,8,1,1.5,0,8,1
2022/8/9 4:00:00,23.0,8,1,1.0,0,8,1
2022/8/9 5:00:00,23.1,8,1,0.0,0,8,1
2022/8/9 6:00:00,23.8,8,1,0.0,0,8,1
2022/8/9 7:00:00,22.1,8,1,0.0,0,8,1
2022/8/9 8:00:00,22.1,8,1,0.0,0,8,1
2022/8/9 9:00:00,22.1,8,1,0.0,0,8,1
2022/8/9 10:00:00,21.8,8,1,0.0,0,8,1
2022/8/9 11:00:00,21.7,8,1,0.0,0,8,1
2022/8/9 12:00:00,21.7,8,1,0.5,0,8,1
2022/8/9 13:00:00,22.4,8,1,0.0,0,8,1
2022/8/9 14:00:00,23.9,8,1,0.0,0,8,1
2022/8/9 15:00:00,23.8,8,1,0,1,8,1
2022/8/9 16:00:00,23.2,8,1,0,1,8,1
2022/8/9 17:00:00,22.7,8,1,0.0,0,8,1
2022/8/9 18:00:00,22.1,8,1,0.0,0,8,1
2022/8/9 19:00:00,21.4,8,1,0.0,0,8,1
2022/8/9 20:00:00,20.6,8,1,1.5,0,8,1
2022/8/9 21:00:00,20.4,8,1,2.5,0,8,1
2022/8/9 22:00:00,20.5,8,1,0.0,0,8,1
2022/8/9 23:00:00,20.6,8,1,0,1,8,1
2022/8/10 00:00:00,20.5,8,1,0.0,0,8,1
2022/8/10 1:00:00,20.5,8,1,0,1,8,1
2022/8/10 2:00:00,20.1,8,1,0.0,0,8,1
2022/8/10 3:00:00,19.8,8,1,0.0,0,8,1
2022/8/10 4:00:00,19.8,8,1,0.0,0,8,1
2022/8/10 5:00:00,20.1,8,1,0.0,0,8,1
2022/8/10 6:00:00,20.1,8,1,0.0,0,8,1
2022/8/10 7:00:00,20.4,8,1,0.5,0,8,1
2022/8/10 8:00:00,21.1,8,1,0.0,0,8,1
2022/8/10 9:00:00,21.4,8,1,0.0,0,8,1
2022/8/10 10:00:00,20.6,8,1,0.5,0,8,1
2022/8/10 11:00:00,20.1,8,1,0.5,0,8,1
2022/8/10 12:00:00,21.2,8,1,0.0,0,8,1
2022/8/10 13:00:00,22.0,8,1,0.0,0,8,1
2022/8/10 14:00:00,21.6,8,1,0.0,0,8,1
2022/8/10 15:00:00,21.9,8,1,0.0,0,8,1
2022/8/10 16:00:00,21.1,8,1,0,1,8,1
2022/8/10 17:00:00,20.4,8,1,0,1,8,1
2022/8/10 18:00:00,20.3,8,1,0,1,8,1
2022/8/10 19:00:00,20.5,8,1,0,1,8,1
2022/8/10 20:00:00,20.4,8,1,0,1,8,1
2022/8/10 21:00:00,20.5,8,1,0.0,0,8,1
2022/8/10 22:00:00,20.5,8,1,0.0,0,8,1
2022/8/10 23:00:00,20.6,8,1,0,1,8,1
2022/8/11 00:00:00,20.8,8,1,0.0,0,8,1
2022/8/11 1:00:00,20.8,8,1,0,1,8,1
2022/8/11 2:00:00,20.8,8,1,0,1,8,1
2022/8/11 3:00:00,21.2,8,1,0.0,0,8,1
2022/8/11 4:00:00,20.9,8,1,0.0,0,8,1
2022/8/11 5:00:00,21.0,8,1,0.0,0,8,1
2022/8/11 6:00:00,21.0,8,1,1.5,0,8,1
2022/8/11 7:00:00,20.7,8,1,0.5,0,8,1
2022/8/11 8:00:00,22.1,8,1,0,1,8,1
2022/8/11 9:00:00,21.9,8,1,0,1,8,1
2022/8/11 10:00:00,24.6,8,1,0,1,8,1
2022/8/11 11:00:00,21.0,8,1,0,1,8,1
2022/8/11 12:00:00,22.9,8,1,0,1,8,1
2022/8/11 13:00:00,22.7,8,1,0,1,8,1
2022/8/11 14:00:00,22.0,8,1,0,1,8,1
2022/8/11 15:00:00,22.6,8,1,0,1,8,1
2022/8/11 16:00:00,22.0,8,1,0,1,8,1
2022/8/11 17:00:00,21.5,8,1,0,1,8,1
2022/8/11 18:00:00,21.5,8,1,0,1,8,1
2022/8/11 19:00:00,21.6,8,1,0,1,8,1
2022/8/11 20:00:00,21.3,8,1,0.0,0,8,1
2022/8/11 21:00:00,20.9,8,1,0.0,0,8,1
2022/8/11 22:00:00,21.3,8,1,0.0,0,8,1
2022/8/11 23:00:00,21.0,8,1,0.5,0,8,1
2022/8/12 00:00:00,20.8,8,1,2.5,0,8,1
2022/8/12 1:00:00,20.9,8,1,11.5,0,8,1
2022/8/12 2:00:00,20.7,8,1,27.0,0,8,1
2022/8/12 3:00:00,20.8,8,1,0.5,0,8,1
2022/8/12 4:00:00,20.2,8,1,0.0,0,8,1
2022/8/12 5:00:00,20.6,8,1,0.5,0,8,1
2022/8/12 6:00:00,20.5,8,1,1.0,0,8,1
2022/8/12 7:00:00,20.4,8,1,2.5,0,8,1
2022/8/12 8:00:00,21.0,8,1,1.5,0,8,1
2022/8/12 9:00:00,21.2,8,1,1.0,0,8,1
2022/8/12 10:00:00,21.3,8,1,0.0,0,8,1
2022/8/12 11:00:00,21.1,8,1,0.0,0,8,1
2022/8/12 12:00:00,22.2,8,1,0,1,8,1
2022/8/12 13:00:00,23.1,8,1,0,1,8,1
2022/8/12 14:00:00,23.0,8,1,0,1,8,1
2022/8/12 15:00:00,22.9,8,1,0,1,8,1
2022/8/12 16:00:00,23.3,8,1,0,1,8,1
2022/8/12 17:00:00,22.8,8,1,0,1,8,1
2022/8/12 18:00:00,22.5,8,1,0,1,8,1
2022/8/12 19:00:00,22.1,8,1,0,1,8,1
2022/8/12 20:00:00,22.3,8,1,0,1,8,1
2022/8/12 21:00:00,21.7,8,1,0,1,8,1
2022/8/12 22:00:00,21.4,8,1,0,1,8,1
2022/8/12 23:00:00,21.1,8,1,0,1,8,1
2022/8/13 00:00:00,21.2,8,1,0,1,8,1
2022/8/13 1:00:00,20.9,8,1,0,1,8,1
2022/8/13 2:00:00,20.6,8,1,0,1,8,1
2022/8/13 3:00:00,19.9,8,1,0,1,8,1
2022/8/13 4:00:00,20.5,8,1,0,1,8,1
2022/8/13 5:00:00,20.7,8,1,0.0,0,8,1
2022/8/13 6:00:00,20.4,8,1,0.0,0,8,1
2022/8/13 7:00:00,20.7,8,1,0,1,8,1
2022/8/13 8:00:00,20.8,8,1,0,1,8,1
2022/8/13 9:00:00,21.2,8,1,0,1,8,1
2022/8/13 10:00:00,21.2,8,1,0.0,0,8,1
2022/8/13 11:00:00,21.5,8,1,0,1,8,1
2022/8/13 12:00:00,21.8,8,1,0,1,8,1
2022/8/13 13:00:00,22.5,8,1,0,1,8,1
2022/8/13 14:00:00,22.2,8,1,0,1,8,1
2022/8/13 15:00:00,21.8,8,1,0,1,8,1
2022/8/13 16:00:00,21.4,8,1,0,1,8,1
2022/8/13 17:00:00,21.6,8,1,0,1,8,1
2022/8/13 18:00:00,21.7,8,1,0,1,8,1
2022/8/13 19:00:00,21.4,8,1,0,1,8,1
2022/8/13 20:00:00,21.2,8,1,0,1,8,1
2022/8/13 21:00:00,21.2,8,1,0,1,8,1
2022/8/13 22:00:00,20.6,8,1,0,1,8,1
2022/8/13 23:00:00,20.5,8,1,0,1,8,1
2022/8/14 00:00:00,20.2,8,1,0,1,8,1
2022/8/14 1:00:00,19.7,8,1,0,1,8,1
2022/8/14 2:00:00,20.0,8,1,0,1,8,1
2022/8/14 3:00:00,19.8,8,1,0,1,8,1
2022/8/14 4:00:00,19.6,8,1,0.0,0,8,1
2022/8/14 5:00:00,20.1,8,1,1.0,0,8,1
2022/8/14 6:00:00,20.3,8,1,0.0,0,8,1
2022/8/14 7:00:00,20.8,8,1,0,1,8,1
2022/8/14 8:00:00,21.7,8,1,0,1,8,1
2022/8/14 9:00:00,22.7,8,1,0,1,8,1
2022/8/14 10:00:00,22.9,8,1,0,1,8,1
2022/8/14 11:00:00,21.5,8,1,0.5,0,8,1
2022/8/14 12:00:00,21.1,8,1,1.5,0,8,1
2022/8/14 13:00:00,21.2,8,1,0.5,0,8,1
2022/8/14 14:00:00,22.4,8,1,0,1,8,1
2022/8/14 15:00:00,22.3,8,1,0,1,8,1
2022/8/14 16:00:00,21.6,8,1,0,1,8,1
2022/8/14 17:00:00,21.2,8,1,0,1,8,1
2022/8/14 18:00:00,21.0,8,1,0,1,8,1
2022/8/14 19:00:00,20.7,8,1,0.0,0,8,1
2022/8/14 20:00:00,20.6,8,1,0,1,8,1
2022/8/14 21:00:00,20.5,8,1,0,1,8,1
2022/8/14 22:00:00,20.2,8,1,0,1,8,1
2022/8/14 23:00:00,19.9,8,1,0,1,8,1
2022/8/15 00:00:00,19.3,8,1,0,1,8,1
2022/8/15 1:00:00,18.8,8,1,0,1,8,1
2022/8/15 2:00:00,17.9,8,1,0,1,8,1
2022/8/15 3:00:00,17.9,8,1,0,1,8,1
2022/8/15 4:00:00,17.4,8,1,0,1,8,1
2022/8/15 5:00:00,17.4,8,1,0,1,8,1
2022/8/15 6:00:00,17.5,8,1,0,1,8,1
2022/8/15 7:00:00,18.6,8,1,0,1,8,1
2022/8/15 8:00:00,21.2,8,1,0,1,8,1
2022/8/15 9:00:00,21.0,8,1,0,1,8,1
2022/8/15 10:00:00,22.6,8,1,0,1,8,1
2022/8/15 11:00:00,23.4,8,1,0,1,8,1
2022/8/15 12:00:00,22.5,8,1,0,1,8,1
2022/8/15 13:00:00,23.2,8,1,0,1,8,1
2022/8/15 14:00:00,23.0,8,1,0,1,8,1
2022/8/15 15:00:00,22.5,8,1,0,1,8,1
2022/8/15 16:00:00,22.1,8,1,0,1,8,1
2022/8/15 17:00:00,21.9,8,1,0,1,8,1
2022/8/15 18:00:00,21.6,8,1,0,1,8,1
2022/8/15 19:00:00,21.4,8,1,0.0,0,8,1
2022/8/15 20:00:00,21.3,8,1,0.0,0,8,1
2022/8/15 21:00:00,21.3,8,1,0.0,0,8,1
2022/8/15 22:00:00,21.3,8,1,0.0,0,8,1
2022/8/15 23:00:00,21.4,8,1,0.0,0,8,1
2022/8/16 00:00:00,20.3,8,1,3.5,0,8,1
2022/8/16 1:00:00,20.3,8,1,2.0,0,8,1
2022/8/16 2:00:00,20.4,8,1,2.0,0,8,1
2022/8/16 3:00:00,20.6,8,1,4.5,0,8,1
2022/8/16 4:00:00,20.7,8,1,8.5,0,8,1
2022/8/16 5:00:00,20.9,8,1,5.0,0,8,1
2022/8/16 6:00:00,20.7,8,1,3.0,0,8,1
2022/8/16 7:00:00,21.2,8,1,2.0,0,8,1
2022/8/16 8:00:00,21.2,8,1,3.5,0,8,1
2022/8/16 9:00:00,21.1,8,1,1.5,0,8,1
2022/8/16 10:00:00,21.4,8,1,2.5,0,8,1
2022/8/16 11:00:00,21.6,8,1,5.0,0,8,1
2022/8/16 12:00:00,21.2,8,1,3.0,0,8,1
2022/8/16 13:00:00,20.4,8,1,1.5,0,8,1
2022/8/16 14:00:00,22.1,8,1,0.5,0,8,1
2022/8/16 15:00:00,22.2,8,1,0.0,0,8,1
2022/8/16 16:00:00,22.4,8,1,0.0,0,8,1
2022/8/16 17:00:00,22.6,8,1,0,1,8,1
2022/8/16 18:00:00,21.6,8,1,0,1,8,1
2022/8/16 19:00:00,21.2,8,1,0,1,8,1
2022/8/16 20:00:00,21.5,8,1,0,1,8,1
2022/8/16 21:00:00,19.4,8,1,0,1,8,1
2022/8/16 22:00:00,21.0,8,1,0,1,8,1
2022/8/16 23:00:00,21.3,8,1,0,1,8,1
2022/8/17 00:00:00,21.3,8,1,0,1,8,1
2022/8/17 1:00:00,20.6,8,1,0,1,8,1
2022/8/17 2:00:00,20.0,8,1,0,1,8,1
2022/8/17 3:00:00,19.2,8,1,0,1,8,1
2022/8/17 4:00:00,19.2,8,1,0,1,8,1
2022/8/17 5:00:00,19.3,8,1,0,1,8,1
2022/8/17 6:00:00,19.2,8,1,0,1,8,1
2022/8/17 7:00:00,20.6,8,1,0,1,8,1
2022/8/17 8:00:00,22.2,8,1,0,1,8,1
2022/8/17 9:00:00,23.2,8,1,0,1,8,1
2022/8/17 10:00:00,23.8,8,1,0,1,8,1
2022/8/17 11:00:00,25.0,8,1,0,1,8,1
2022/8/17 12:00:00,25.8,8,1,0,1,8,1
2022/8/17 13:00:00,24.7,8,1,0,1,8,1
2022/8/17 14:00:00,23.6,8,1,0,1,8,1
2022/8/17 15:00:00,22.2,8,1,0,1,8,1
2022/8/17 16:00:00,21.4,8,1,0,1,8,1
2022/8/17 17:00:00,21.2,8,1,0,1,8,1
2022/8/17 18:00:00,20.2,8,1,0,1,8,1
2022/8/17 19:00:00,20.1,8,1,0,1,8,1
2022/8/17 20:00:00,20.0,8,1,0,1,8,1
2022/8/17 21:00:00,20.0,8,1,0,1,8,1
2022/8/17 22:00:00,19.8,8,1,0,1,8,1
2022/8/17 23:00:00,18.9,8,1,0,1,8,1
2022/8/18 00:00:00,18.6,8,1,0,1,8,1
2022/8/18 1:00:00,18.0,8,1,0,1,8,1
2022/8/18 2:00:00,18.0,8,1,0,1,8,1
2022/8/18 3:00:00,17.3,8,1,0,1,8,1
2022/8/18 4:00:00,16.9,8,1,0,1,8,1
2022/8/18 5:00:00,17.4,8,1,0,1,8,1
2022/8/18 6:00:00,19.3,8,1,0,1,8,1
2022/8/18 7:00:00,19.4,8,1,0,1,8,1
2022/8/18 8:00:00,20.1,8,1,0,1,8,1
2022/8/18 9:00:00,20.3,8,1,0,1,8,1
2022/8/18 10:00:00,20.8,8,1,0,1,8,1
2022/8/18 11:00:00,20.6,8,1,0,1,8,1
2022/8/18 12:00:00,21.5,8,1,0,1,8,1
2022/8/18 13:00:00,21.4,8,1,0,1,8,1
2022/8/18 14:00:00,21.4,8,1,0,1,8,1
2022/8/18 15:00:00,21.1,8,1,0.0,0,8,1
2022/8/18 16:00:00,20.4,8,1,0.0,0,8,1
2022/8/18 17:00:00,20.0,8,1,0.0,0,8,1
2022/8/18 18:00:00,19.4,8,1,1.5,0,8,1
2022/8/18 19:00:00,18.4,8,1,6.0,0,8,1
2022/8/18 20:00:00,16.9,8,1,10.5,0,8,1
2022/8/18 21:00:00,17.0,8,1,3.0,0,8,1
2022/8/18 22:00:00,16.5,8,1,5.0,0,8,1
2022/8/18 23:00:00,16.4,8,1,12.5,0,8,1
2022/8/19 00:00:00,16.3,8,1,3.5,0,8,1
2022/8/19 1:00:00,16.1,8,1,7.5,0,8,1
2022/8/19 2:00:00,16.3,8,1,4.5,0,8,1
